x,y,z,dipdir,dipang
583992,4.44061e+06,1345,135,35
583997,4.44061e+06,1342.55,135,35
583997,4.44061e+06,1342.55,135,35
584019,4.44061e+06,1331,135,35
584019,4.44061e+06,1331,135,35
584022,4.44061e+06,1329.04,135,35
584022,4.44061e+06,1329.04,135,35
584028,4.4406e+06,1324.98,135,35
584113,4.4406e+06,1282.64,135,35
584129,4.44061e+06,1277,135,35
584129,4.44061e+06,1277,135,35
584136,4.44061e+06,1275.02,135,35
584136,4.44061e+06,1275.02,135,35
584150,4.4406e+06,1264.33,135,35
584172,4.44063e+06,1267.05,135,35
584159,4.44061e+06,1261.52,135,35
584159,4.44061e+06,1261.52,135,35
584158,4.4406e+06,1260.69,135,35
583457,4.44058e+06,1594.15,135,35
583474,4.44059e+06,1593.26,135,35
583474,4.44059e+06,1593.26,135,35
583490,4.44059e+06,1585.64,135,35
583501,4.44059e+06,1580.47,135,35
583490,4.44059e+06,1585.64,135,35
583501,4.44059e+06,1580.47,135,35
583523,4.4406e+06,1574.73,135,35
583735,4.4406e+06,1470.01,135,35
583743,4.4406e+06,1464.09,135,35
583743,4.4406e+06,1464.09,135,35
583747,4.4406e+06,1460.82,135,35
583748,4.4406e+06,1462.54,135,35
583747,4.4406e+06,1462.54,135,35
583752,4.44058e+06,1452.14,135,35
583774,4.4406e+06,1452.15,135,35
583904,4.4406e+06,1386.41,135,35
583905,4.4406e+06,1383.06,135,35
583905,4.4406e+06,1383.06,135,35
583910,4.44059e+06,1376.52,135,35
583910,4.44059e+06,1376.52,135,35
583920,4.44059e+06,1369.56,135,35
583920,4.44059e+06,1369.56,135,35
583938,4.44059e+06,1360.64,135,35
583938,4.44059e+06,1360.64,135,35
583950,4.44059e+06,1356.05,135,35
583950,4.44059e+06,1356.05,135,35
583965,4.44059e+06,1349,135,35
583985,4.4406e+06,1346.03,135,35
583965,4.44059e+06,1349,135,35
584038,4.44059e+06,1315.54,135,35
584028,4.4406e+06,1324.98,135,35
584038,4.44059e+06,1315.54,135,35
584047,4.44059e+06,1310.64,135,35
584047,4.44059e+06,1310.64,135,35
584058,4.44059e+06,1302.03,135,35
584058,4.44059e+06,1302.03,135,35
584072,4.44058e+06,1289.37,135,35
584077,4.44058e+06,1286.94,135,35
584101,4.4406e+06,1284.78,135,35
584113,4.4406e+06,1282.64,135,35
584101,4.4406e+06,1284.78,135,35
584150,4.4406e+06,1264.33,135,35
584154,4.4406e+06,1261.52,135,35
584154,4.4406e+06,1261.52,135,35
584156,4.4406e+06,1261,135,35
584158,4.4406e+06,1260.69,135,35
584156,4.4406e+06,1261,135,35
583433,4.44055e+06,1592.57,135,35
583447,4.44056e+06,1593.49,135,35
583457,4.44058e+06,1594.15,135,35
583447,4.44056e+06,1593.49,135,35
584072,4.44058e+06,1289.37,135,35
584073,4.44058e+06,1288.53,135,35
584073,4.44058e+06,1288.53,135,35
584074,4.44057e+06,1287.69,135,35
584077,4.44058e+06,1286.94,135,35
584074,4.44057e+06,1287.69,135,35
583433,4.44055e+06,1592.57,135,35
583435,4.44054e+06,1585.64,135,35
583435,4.44054e+06,1585.64,135,35
583434,4.44052e+06,1578.39,135,35
583434,4.44052e+06,1578.39,135,35
583435,4.44051e+06,1572.13,135,35
583435,4.44051e+06,1572.13,135,35
583435,4.44049e+06,1564.25,135,35
583414,4.44047e+06,1561.1,135,35
583419,4.44047e+06,1561.1,135,35
583435,4.44049e+06,1564.25,135,35
583419,4.44047e+06,1561.1,135,35
